design,designer,vignette,keywords,shiny,author,author_url
block_cluster_two_arm_design,block_cluster_two_arm_designer,block_cluster_two_arm,,block_cluster_two_arm,DeclareDesign,https://declaredesign.org/about/
cluster_sampling_design,cluster_sampling_designer,cluster_sampling,,cluster_sampling,DeclareDesign,https://declaredesign.org/about/
mediation_analysis_design,mediation_analysis_designer,mediation_analysis,,mediation_analysis,DeclareDesign,https://declaredesign.org/about/
multi_arm_design,multi_arm_designer,multi_arm,,,DeclareDesign,https://declaredesign.org/about/
pretest_posttest_design,pretest_posttest_designer,pretest_posttest,,pretest_posttest,DeclareDesign,https://declaredesign.org/about/
randomized_response_design,randomized_response_designer,randomized_response,,randomized_response,DeclareDesign,https://declaredesign.org/about/
regression_discontinuity_design,regression_discontinuity_designer,regression_discontinuity,,regression_discontinuity,DeclareDesign,https://declaredesign.org/about/
simple_spillover_design,simple_spillover_designer,simple_spillover,,simple_spillover,DeclareDesign,https://declaredesign.org/about/
simple_two_arm_design,simple_two_arm_designer,simple_two_arm,,simple_two_arm,DeclareDesign,https://declaredesign.org/about/
simple_factorial_design,simple_factorial_designer,,,,DeclareDesign,https://declaredesign.org/about/
two_arm_attrition_design,two_arm_attrition_designer,,,,DeclareDesign,https://declaredesign.org/about/
